Beverage_category,Beverage,Beverage_prep,size,kind,Calories,total_fat,trans_fat,saturated_fat,sodium,total_carbo,cholesterol,sugars,protein,vitA,vitC,calcium,iron,caffeine
Classic Espresso Drinks,Caffe Americano,Tall,tall,coffee,10,0,0,0,0,10,2,0,1,0%,0%,2%,0%,150
Classic Espresso Drinks,Caffe Americano,Grande,grande,coffee,15,0,0,0,0,15,3,0,1,0%,0%,2%,0%,225
Classic Espresso Drinks,Caffe Americano,Venti,venti,coffee,25,0,0,0,0,15,4,0,1,0%,0%,2%,0%,300
Classic Espresso Drinks,Cappuccino,Short Nonfat Milk,short,coffee,50,0.1,0.1,0,5,60,8,7,5,8%,0%,15%,0%,75
Classic Espresso Drinks,Cappuccino,2% Milk,short,coffee,80,3,1.5,0.1,10,70,8,7,5,8%,0%,15%,0%,75
Classic Espresso Drinks,Cappuccino,Soymilk,short,coffee,50,1.5,0.2,0,0,40,4,3,3,4%,0%,10%,6%,75
Classic Espresso Drinks,Cappuccino,Tall Nonfat Milk,tall,coffee,60,0.1,0.1,0,5,70,9,8,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Cappuccino,2% Milk,tall,coffee,90,3.5,1.5,0.1,15,80,9,8,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Cappuccino,Soymilk,tall,coffee,70,3,0.4,0,0,65,7,4,5,6%,0%,20%,8%,75
Classic Espresso Drinks,Cappuccino,Grande Nonfat Milk,grande,coffee,80,0.2,0.1,0,5,90,12,10,8,15%,0%,25%,0%,150
Classic Espresso Drinks,Cappuccino,2% Milk,grande,coffee,120,4,2,0.1,15,100,12,10,8,10%,0%,25%,0%,150
Classic Espresso Drinks,Cappuccino,Soymilk,grande,coffee,100,3.5,0.4,0,0,80,9,5,7,8%,0%,25%,10%,150
Classic Espresso Drinks,Cappuccino,Venti Nonfat Milk,venti,coffee,110,0.2,0.2,0,5,120,16,14,10,20%,0%,30%,0%,150
Classic Espresso Drinks,Cappuccino,2% Milk,venti,coffee,150,6,3,0.2,25,135,16,14,10,15%,0%,30%,0%,150
Classic Espresso Drinks,Cappuccino,Soymilk,venti,coffee,120,4.5,0.5,0,0,110,11,7,9,10%,0%,35%,15%,150
Classic Espresso Drinks,Skinny Latte (Any Flavour),Short Nonfat Milk,short,coffee,60,0.1,0.1,0,5,80,9,8,6,10%,0%,20%,0%,75
Classic Espresso Drinks,Skinny Latte (Any Flavour),Tall Nonfat Milk,tall,coffee,100,0.2,0.1,0,5,125,14,13,9,15%,0%,30%,0%,75
Classic Espresso Drinks,Skinny Latte (Any Flavour),Grande Nonfat Milk,grande,coffee,120,0.3,0.2,0,5,160,18,16,12,20%,0%,35%,0%,150
Classic Espresso Drinks,Skinny Latte (Any Flavour),Venti Nonfat Milk,venti,coffee,160,0.3,0.2,0,10,200,24,21,15,25%,0%,50%,0%,150
Signature Espresso Drinks,Caramel Macchiato,Short Nonfat Milk,short,coffee,100,1,0.5,0,5,70,17,15,6,10%,0%,15%,0%,75
