Beverage_category,Beverage,Beverage_prep,size,kind,Calories,total_fat,trans_fat,saturated_fat,sodium,total_carbo,cholesterol,sugars,protein,vitA,vitC,calcium,iron,caffeine
Smoothies,Orange Mango Banana Smoothie,Grande Nonfat Milk,grande,smoothies,260,1,0.3,0,5,120,54,37,16,50%,80%,10%,30%,15
Smoothies,Orange Mango Banana Smoothie,2% Milk,grande,smoothies,270,1.5,0.5,0,5,125,53,37,16,50%,80%,10%,6%,0
Smoothies,Orange Mango Banana Smoothie,Soymilk,grande,smoothies,270,1.5,0.4,0,5,120,53,36,15,50%,80%,10%,6%,0
Smoothies,Strawberry Banana Smoothie,Grande Nonfat Milk,grande,smoothies,290,1,0.3,0,5,125,58,41,16,4%,100%,10%,8%,0
Smoothies,Strawberry Banana Smoothie,2% Milk,grande,smoothies,290,2,1,0,5,125,58,41,16,4%,100%,10%,8%,0
Smoothies,Strawberry Banana Smoothie,Soymilk,grande,smoothies,290,2,0.4,0,5,120,58,40,16,2%,100%,10%,8%,0
Frappuccino Blended Coffee,Coffee,Tall Nonfat Milk,tall,fancy_coffee,160,0.1,0,0,0,160,36,36,3,4%,0%,10%,10%,0
Frappuccino Blended Coffee,Coffee,Whole Milk,tall,fancy_coffee,180,2.5,1.5,0.1,10,160,36,36,3,4%,0%,8%,0%,70
Frappuccino Blended Coffee,Coffee,Soymilk,tall,fancy_coffee,160,1.5,0.2,0,0,150,35,34,2,4%,0%,10%,0%,70
Frappuccino Blended Coffee,Coffee,Grande Nonfat Milk,grande,fancy_coffee,220,0.1,0.1,0,0,210,51,50,4,6%,0%,10%,4%,70
Frappuccino Blended Coffee,Coffee,Whole Milk,grande,fancy_coffee,240,3,2,0.1,10,220,50,50,3,4%,0%,10%,0%,95
Frappuccino Blended Coffee,Coffee,Soymilk,grande,fancy_coffee,220,1.5,0.2,0,0,210,49,47,3,4%,0%,10%,0%,95
Frappuccino Blended Coffee,Coffee,Venti Nonfat Milk,venti,fancy_coffee,310,0.1,0.1,0,5,300,70,69,6,10%,0%,20%,6%,95
Frappuccino Blended Coffee,Coffee,Whole Milk,venti,fancy_coffee,350,5,3,0.2,15,300,70,69,5,8%,0%,15%,2%,130
Frappuccino Blended Coffee,Coffee,Soymilk,venti,fancy_coffee,310,2.5,0.3,0,0,300,68,66,5,6%,0%,20%,2%,130
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),Tall Nonfat Milk,tall,fancy_coffee,180,0.5,0.4,0,0,150,42,40,3,4%,0%,10%,8%,130
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,tall,fancy_coffee,200,3,2,0.1,10,160,42,40,3,4%,0%,8%,6%,70
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),Soymilk,tall,fancy_coffee,180,2,0.5,0,0,150,40,38,3,4%,0%,10%,10%,70
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),Grande Nonfat Milk,grande,fancy_coffee,260,1,0.5,0,0,220,61,58,4,6%,0%,10%,8%,110
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,grande,fancy_coffee,290,4,2.5,0.1,10,220,61,58,4,4%,0%,10%,8%,110
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),Soymilk,grande,fancy_coffee,260,2.5,0.5,0,0,220,59,55,4,4%,0%,10%,15%,110
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),Venti Nonfat Milk,venti,fancy_coffee,340,1,0.5,0,5,300,80,76,7,10%,0%,15%,10%,140
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,venti,fancy_coffee,390,6,3.5,0.1,15,300,80,76,6,8%,0%,15%,10%,140
Frappuccino Blended Coffee,Mocha (Without Whipped Cream),Soymilk,venti,fancy_coffee,350,3,1,0,0,290,78,73,6,6%,0%,20%,20%,140
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),Tall Nonfat Milk,tall,fancy_coffee,180,0.1,0,0,0,160,42,41,3,4%,0%,10%,0%,70
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,tall,fancy_coffee,200,2.5,1.5,0.1,10,160,42,41,3,4%,0%,8%,0%,70
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),Soymilk,tall,fancy_coffee,180,1.5,0.2,0,0,150,40,39,2,4%,0%,10%,4%,70
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),Grande Nonfat Milk,grande,fancy_coffee,280,0.1,0.1,0,0,220,60,59,4,6%,0%,10%,0%,100
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,grande,fancy_coffee,280,3.5,2,0.1,10,220,60,59,3,4%,0%,10%,0%,100
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),Soymilk,grande,fancy_coffee,260,1.5,0.2,0,0,220,58,56,3,4%,0%,10%,6%,100
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),Venti Nonfat Milk,venti,fancy_coffee,330,0.1,0.1,0,5,290,78,77,5,10%,0%,15%,2%,130
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,venti,fancy_coffee,370,5,3,0.1,15,300,78,77,5,8%,0%,15%,2%,130
Frappuccino Blended Coffee,Caramel (Without Whipped Cream),Soymilk,venti,fancy_coffee,340,2.5,0.3,0,0,290,75,73,5,6%,0%,20%,8%,130
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),Tall Nonfat Milk,tall,fancy_coffee,220,3,2,0,0,170,47,44,4,4%,0%,10%,20%,75
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,tall,fancy_coffee,240,5,3.5,0.1,10,170,47,44,4,4%,0%,8%,20%,75
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,tall,fancy_coffee,220,4,2.5,0,0,170,45,42,3,4%,0%,10%,20%,75
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),Grande Nonfat Milk,grande,fancy_coffee,310,4,3,0,0,250,67,62,5,6%,0%,10%,25%,110
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,grande,fancy_coffee,340,7,5,0.1,10,250,67,62,5,4%,0%,10%,25%,110
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,grande,fancy_coffee,310,6,3.5,0,0,240,65,60,4,4%,0%,10%,30%,110
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),Venti Nonfat Milk,venti,fancy_coffee,420,5,4,0,5,340,90,84,7,10%,0%,20%,35%,145
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,venti,fancy_coffee,460,10,7,0.2,15,340,90,84,7,6%,0%,15%,35%,145
Frappuccino Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,venti,fancy_coffee,430,8,4.5,0,0,330,88,80,6,6%,0%,20%,40%,145
Frappuccino Light Blended Coffee,Coffee,Tall Nonfat Milk,tall,fancy_coffee,90,0.1,0,0,0,160,20,19,3,4%,0%,10%,0%,70
Frappuccino Light Blended Coffee,Coffee,Grande Nonfat Milk,grande,fancy_coffee,120,0.1,0.1,0,0,210,26,26,3,6%,0%,10%,0%,95
Frappuccino Light Blended Coffee,Coffee,Venti Nonfat Milk,venti,fancy_coffee,160,0.1,0.1,0,5,270,34,33,5,8%,0%,15%,2%,120
Frappuccino Light Blended Coffee,Mocha,Tall Nonfat Milk,tall,fancy_coffee,110,0.5,0.4,0,0,150,24,23,3,4%,0%,8%,6%,70
Frappuccino Light Blended Coffee,Mocha,Grande Nonfat Milk,grande,fancy_coffee,150,1,0.5,0,0,200,33,30,4,6%,0%,10%,8%,95
Frappuccino Light Blended Coffee,Mocha,Venti Nonfat Milk,venti,fancy_coffee,210,1,0.5,0,5,280,46,42,6,8%,0%,15%,10%,130
Frappuccino Light Blended Coffee,Caramel,Tall Nonfat Milk,tall,fancy_coffee,100,0.1,0,0,0,140,23,23,3,4%,0%,8%,0%,65
Frappuccino Light Blended Coffee,Caramel,Grande Nonfat Milk,grande,fancy_coffee,150,0.1,0.1,0,0,200,33,32,3,6%,0%,10%,0%,90
Frappuccino Light Blended Coffee,Caramel,Venti Nonfat Milk,venti,fancy_coffee,200,0.1,0.1,0,5,270,44,43,5,8%,0%,15%,2%,120
Frappuccino Light Blended Coffee,Java Chip,Tall Nonfat Milk,tall,fancy_coffee,150,3,2,0,0,170,30,27,4,4%,0%,10%,20%,70
Frappuccino Light Blended Coffee,Java Chip,Grande Nonfat Milk,grande,fancy_coffee,220,4,3,0,0,240,43,39,5,6%,0%,10%,25%,105
Frappuccino Light Blended Coffee,Java Chip,Venti Nonfat Milk,venti,fancy_coffee,290,5,4,0,5,320,58,52,7,8%,0%,15%,35%,165
Frappuccino BlendedCreme,Strawberries &Creme (Without Whipped Cream),Tall Nonfat Milk,tall,fancy_coffee,170,0.1,0.1,0,0,140,39,38,3,6%,6%,10%,2%,0
Frappuccino BlendedCreme,Strawberries &Creme (Without Whipped Cream),Whole Milk,tall,fancy_coffee,190,3,1.5,0.1,10,140,38,37,3,4%,6%,10%,2%,0
Frappuccino BlendedCreme,Strawberries &Creme (Without Whipped Cream),Soymilk,tall,fancy_coffee,170,1.5,0.2,0,0,135,37,35,3,4%,6%,10%,6%,0
Frappuccino BlendedCreme,Strawberries &Creme (Without Whipped Cream),Grande Nonfat Milk,grande,fancy_coffee,230,0.2,0.1,0,0,190,53,52,4,8%,6%,15%,4%,0
Frappuccino BlendedCreme,Strawberries &Creme (Without Whipped Cream),Whole Milk,grande,fancy_coffee,260,4,2,0.1,10,190,53,52,4,6%,6%,15%,4%,0
Frappuccino BlendedCreme,Strawberries &Creme (Without Whipped Cream),Soymilk,grande,fancy_coffee,240,2,0.2,0,0,180,51,49,3,4%,6%,15%,8%,0
Frappuccino BlendedCreme,Strawberries &Creme (Without Whipped Cream),Venti Nonfat Milk,venti,fancy_coffee,310,0.2,0.1,0,5,260,70,69,6,10%,8%,20%,4%,0
Frappuccino BlendedCreme,Strawberries &Creme (Without Whipped Cream),Whole Milk,venti,fancy_coffee,350,6,3,0.2,15,260,70,68,6,8%,8%,20%,4%,0
Frappuccino BlendedCreme,Strawberries &Creme (Without Whipped Cream),Soymilk,venti,fancy_coffee,320,3 2,0.4,0,0,250,67,64,5,6%,8%,20%,10%,0
Frappuccino BlendedCreme,Vanilla Bean (Without Whipped Cream),Tall Nonfat Milk,tall,fancy_coffee,170,0.1,0.1,0,0,160,39,38,4,6%,0%,10%,0%,0
Frappuccino BlendedCreme,Vanilla Bean (Without Whipped Cream),Whole Milk,tall,fancy_coffee,200,3.5,2,0.1,10,160,39,38,3,6%,0%,10%,0%,0
Frappuccino BlendedCreme,Vanilla Bean (Without Whipped Cream),Soymilk,tall,fancy_coffee,180,1.5,0.2,0,0,160,37,35,3,4%,0%,10%,6%,0
Frappuccino BlendedCreme,Vanilla Bean (Without Whipped Cream),Grande Nonfat Milk,grande,fancy_coffee,240,0.1,0.1,0,5,230,56,55,5,8%,0%,15%,0%,0
